Date,2009/12/03,,"Rat #",295,"Reçu le ",2009/12/01,,,,
,,,,,"Poids approx",280,,,,
"Induction à",10H20,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 130",,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
10H55,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 18 MΩ ; Ri = 22 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,"Cellule A à 4280 µm",,,,,,
,,,,"Fréq spont = 3.53 Hz ; ISI = 283 ± 367 ms",,,,,,RAS
,,,,Réponse,,,,,,
,,,,"Noci mécanique : OFF with overshoot",,,,,,"Perfusion @ 17H45"
,,,,"Noci thermique : OFF with overshoot",,,,,,
,,,,"Tactile : Neutral",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Perdue @ injection (injectée 10 sec puis percée ?)",,,,,,"Re = ; Ri = MΩ"
,,,,,,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
12H10,"0.2 mm",,"0.3 mm","Cellule B à 4570 µm",,,,,,
,,,,"Fréq spont = 1.47 Hz ; ISI = 678 ± 379 ms",,,,,,"Injection à nA pendant min"
,,,,"des spikes en burst de 2",,,,,,"Fin injection à "
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON",,,,,,"Cellule à µm"
,,,,"Noci thermique : ON",,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,"Tactile : Neutral",,,,,,Réponse
,,,,"Injection à 3-4 nA pendant 3 min",,,,,,"Noci mécanique : "
,,,,"Fin injection à 12H55",,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
"15 H15","0.2 mm",,"-0.3 mm",RAS,,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,"Perfusion @ 16H00",,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
