Date,2008/09/11,,"Rat #",172,"Reçu le ",2008/07/02,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",11H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 800 µm ; Profondeur : 800 µm",,,,,,,,,,,,,,,
"par rapport au Calamus",,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
14H30,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 25 MΩ ; Ri = 40 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,"Cellule A à 8600µm",,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,"Antidromique:OK;elec:3;lat:1,5ms;seuil:700µA",,,,,Antidromique,,,,"5,5 mm",,"1,1 mm"
,,,,"Fréquence spontanée =  0,5 - 1,5 Hz",,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,Réponse,,,,,Réponse,,,,,,
,,,,"Noci mécanique : ",,,,,"Noci mécanique : ",,,,,,
,,,,"Noci thermique : ON (50°C;FL/RL/RR)",,,,,"Noci thermique : ",,,,,,
,,,,"Tactile : ",,,,,"Tactile : ",,,,,,
15H00,"4,4 mm",,"1,3 mm",RAS,,,,,"Injection à nA pendant min",,,,,,
15H45,"4,6 mm",,"1,1 mm",RAS,,,,,,,,,,,
