Date,2008/09/16,,"Rat #",174,"Reçu le ",2008/09/16,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",10H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 800 µm ; Profondeur : 600 µm",,,,,,,,,,,,,,,
"par rapport au Calamus",,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
12H00,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 25 MΩ ; Ri = 40 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,"Cellule A à 7850 µm",,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,Antidromique:OK;elec:1;lat:3ms;seuil:250µA,,,,,Antidromique,,,,"5,5 mm",,"1,1 mm"
,,,,"Fréquence spontanée = 15 Hz",,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,Réponse,,,,,Réponse,,,,,,
,,,,"Noci mécanique : ",,,,,"Noci mécanique : ",,,,,,
,,,,"Noci thermique : ON (50°C;FR/FL/RR/FL) ",,,,,"Noci thermique : ",,,,,,
,,,,"NEUTRAL (44°C;RR)",,,,,"Tactile : ",,,,,,
,,,,"Tactile : ",,,,,"Injection à nA pendant min",,,,,,
,,,,"Ne suit pas à l'injection",,,,,,,,,,,
14H15,"4,6 mm",,"1,1 mm",RAS,,,,,,,,,,,
15H00,"4,8 mm",,"1,3 mm",RAS,,,,,,,,,,,
16H15,"5,0 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,
,,,,"Re = 15 MΩ ; Ri = 25 MΩ",,,,,,,,,,,
17H05,"5,2 mm",,"1,3 mm",RAS,,,,,,,,,,,
