Date,2009/11/16,,"Rat #",286,"Reçu le ",2009/11/10,,,,
,,,,,"Poids approx",300,,,,
"Induction à",11H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 124",,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
12H15,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 15 MΩ ; Ri = 12 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,"Cellule A à 4507 µm",,,,,,
,,,,"Fréq spont = 1.34 Hz ; ISI = 744 ± 430 ms",,,,,,RAS
,,,,Réponse,,,,,,
,,,,"Noci mécanique : OFF (RL)",,,,,,"Perfusion @ 17H45"
,,,,"Noci thermique : OFF (50:tt CR;48-52:RL) neut (44-46:RL)",,,,,,
,,,,"Tactile : neutral (RL)",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Perdue @ injection",,,,,,"Re = ; Ri = MΩ"
,,,,,,,,,,
,,,,"Cellule B à 4745 µm",,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,"Fréq spont = 0.76 Hz ; ISI = 1321 ± 438 ms",,,,,,
,,,,Réponse,,,,,,"Injection à nA pendant min"
,,,,"Noci mécanique : OFF (FR)",,,,,,"Fin injection à "
,,,,"Noci thermique : OFF (50:tt CR ?;50-52:RL) neut (44-48:FR)",,,,,,
,,,,"Tactile : neutral ? (FR)",,,,,,"Cellule à µm"
,,,,"Injection à 10-12 nA pendant 2 min",,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,"Fin injection à 14H05",,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
15H05,"0.0 mm",,"-0.3 mm",RAS,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
15H25,"-0.2 mm",,"-0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 17 MΩ ; Ri = 20-22 MΩ",,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,"Cellule C à 4800 µm",,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,"Fréq spont = 2.87 Hz ; ISI = 348 ± 188 ms",,,,,,Collision
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON (RR)",,,,,,
,,,,"Noci thermique : ON (50:tt CR;48-52:RR) neut (44-46:FR)",,,,,,
,,,,"Tactile : Neutral (RR)",,,,,,
,,,,"Perdue @ injection",,,,,,
,,,,,,,,,,
,,,,"Perfusion @ 16H50",,,,,,
