Date,2009/03/13,,"Rat #",227,"Reçu le ",2009/03/03,,,,
,,,,,"Poids approx","300 g",,,,
"Induction à",10H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
10H28,"5.0 mm",,"0.9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,
,,,,"Re = 10 MΩ ; Ri = 25 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
14H20,"5.2 mm",,"0.9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,
,,,,"Re = 10 MΩ ; Ri = 25 MΩ",,,,,,RAS
,,,,,,,,,,
15H20,"4.8 mm",,"0.9 mm",,,,,,,"Perfusion @ 17H45"
,,,,,,,,,,
,,,,,,,,,,"* 1,5% neurobiotine ; 5% NaCl"
16H00,"5.6 mm",,"0.9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,"Re = ; Ri = MΩ"
,,,,"Re = 12 MΩ ; Ri = 25 MΩ",,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,,,,,,,
,,,,,,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
,,,,,,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,,,,,,,"Fréquence spontanée =  Hz"
,,,,,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
,,,,,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
