Date,2009/11/30,,"Rat #",292,"Reçu le ",2009/11/26,,,,
,,,,,"Poids approx",300,,,,
"Induction à",15H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
16H20,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 18 MΩ ; Ri = 18 MΩ",,,,,,"Perdue @ injection"
,,,,RAS,,,,,,"Perdue AV injection"
,,,,,,,,,,
17H00,"0.0 mm",,"-0.3 mm",RAS,,,,,,RAS
,,,,,,,,,,
18H15,"-0.2 mm",,"-0.3 mm",RAS,,,,,,"Perfusion @ 17H45"
,,,,,,,,,,
,,,,,,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,,,,,,,"Re = ; Ri = MΩ"
,,,,,,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,,,,,,,
,,,,,,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
,,,,,,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
,,,,,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,,,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
