Date,2009/12/07,,"Rat #",297,"Reçu le ",2009/12/01,,,,
,,,,,"Poids approx",280,,,,
"Induction à",11H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 131",,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
11H35,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 18 MΩ ; Ri = 22 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,RAS,,,,,,
,,,,,,,,,,RAS
12H10,"0.0 mm",,"-0.3 mm","Cellule A à 4200 µm",,,,,,
,,,,"Fréq spont = 2.02 Hz ; ISI = 494 ±152 ms",,,,,,"Perfusion @ 17H45"
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON (FL)",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Noci thermique : ON",,,,,,"Re = ; Ri = MΩ"
,,,,"Tactile : Neutral",,,,,,
,,,,"Injection à 4-6 nA pendant 50 sec",,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,"Fin injection à 14H40",,,,,,
,,,,"injecté en 3 fois @ 4205/4190/4170 µm",,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
15H10,"0.2 mm",,"0.3 mm","Cellule A à 4200 µm",,,,,,
,,,,"Fréq spont = 0.64 Hz ; ISI = 1553 ± 367 ms",,,,,,"Cellule à µm"
,,,,Réponse,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,"Noci mécanique : OFF (FR) light",,,,,,Réponse
,,,,"Noci thermique : OFF light",,,,,,"Noci mécanique : "
,,,,"Tactile : Neutral",,,,,,"Noci thermique : "
,,,,"Injection à 2-4 nA pendant 2 min",,,,,,"Tactile : "
,,,,"Fin injection à 16H10",,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
16H20,"0.2 mm",,"0.8 mm",RAS,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
16H50,"0.0 mm",,"-0.8 mm",RAS,,,,,,Collision
,,,,,,,,,,
17H30,"0.2 mm",,"-0.8 mm","Cellule C à 5020 µm",,,,,,
,,,,"Fréq spont = 1.33 Hz ; ISI = 753 ± 177 ms",,,,,,
,,,,Réponse,,,,,,
,,,,"Noci thermique : OFF",,,,,,
,,,,"Perdue AV injection",,,,,,
,,,,,,,,,,
,,,,"Perfusion @ 18H20",,,,,,
