Date,2008/05/30,,"Rat #",120,"Reçu le ",2008/05/27,,,
,,,,,"Poids approx","300 g",,,
"Induction à",10H25,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 51",,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
11H20,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 25 MΩ ; Ri = 34 MΩ",,,,,"Re = ; Ri = "
,,,,"Cellule A à 9900 µm",,,,,"Cellule à µm"
,,,,"Fréquence spontanée = Hz",,,,,"Fréquence spontanée = Hz"
,,,,Réponse,,,,,Réponse
,,,,"Noci mécanique : ? (T ; FR)",,,,,"Noci mécanique : "
,,,,"Noci thermique : ? (FL)",,,,,"Noci thermique : "
,,,,"Tactile : ",,,,,"Tactile : "
,,,,"- Perdue",,,,,"Injection à nA pendant min"
12H40,"4,7 mm",,"1,1 mm","Cellule B à 8600 µm",,,,,
,,,,"Fréquence spontanée = Hz",,,,,
,,,,Réponse,,,,,
,,,,"Noci mécanique : OFF (FR ; T)",,,,,
,,,,"Noci thermique : ",,,,,
,,,,"Tactile : ",,,,,
,,,,"Injection à 0,1-0,4 nA pendant 15 min",,,,,
,,,,"- Bon suivi ; modulation de décharge",,,,,
,,,,"- Perdue et récupérée une fois",,,,,
,,,," - Arrêtée à 13H30",,,,,
,,,,"- Réponse OFF atténué après injection",,,,,
,,,,"(même neurone)",,,,,
,,,,,,,,,
,,,,"Perfusion à 14H30",,,,,
,,,,,,,,,
,,,,hypothermie,,,,,
