Date,2008/06/19,,"Rat #",133,"Reçu le ",2008/06/09,,,
,,,,,"Poids approx","300 g",,,
"Induction à",13H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
14H30,"4,6 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 25 MΩ ; Ri =  MΩ",,,,,"Re = ; Ri = "
,,,,RAS,,,,,"Cellule à µm"
15H48,"4,9 mm",,"1,1 mm",RAS,,,,,"Fréquence spontanée = Hz"
16H30,"5,2 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,Réponse
,,,,"Re = 25 MΩ ; Ri =  MΩ",,,,,"Noci mécanique : "
17H15,"5,5 mm",,"1,1 mm",,,,,,"Noci thermique : "
,,,,,,,,,"Tactile : "
,,,,,,,,,"Injection à nA pendant min"
