Date,2009/11/10,,"Rat #",285,"Reçu le ",2009/11/10,,,,
,,,,,"Poids approx",300,,,,
"Induction à",15H30,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
16H15,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 17.5 MΩ ; Ri = 25 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,RAS,,,,,,
,,,,,,,,,,RAS
16H55,"0.0 mm",,"-0.3 mm","Cellule A à 5080 µm",,,,,,
,,,,"Fréq spont =  Hz ; ISI = ± ms",,,,,,"Perfusion @ 17H45"
,,,,Réponse,,,,,,
,,,,"Noci thermique : ON (50:ttCR) Neutral (44/46:RR)",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Perdue AV injection",,,,,,"Re = ; Ri = MΩ"
,,,,,,,,,,
18H00,"-0.2 mm",,"-0.3 mm",RAS,,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,,,,,,,
18H20,"-0.2 mm",,"0.3 mm",RAS,,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
,,,,,,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
,,,,,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,,,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
