Date,2008/09/03,,"Rat #",168,"Reçu le ",2008/07/16,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",14H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 55",,,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 600 µm ; Profondeur : 700 µm",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
12H00,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 25 MΩ ; Ri = 15 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,RAS,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
14H00,"4,6 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,Antidromique,,,,"5,5 mm",,"1,1 mm"
,,,,"Re = 30 MΩ ; Ri = 24 MΩ",,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,RAS,,,,,Réponse,,,,,,
15H00,"4,8 mm",,"1,3 mm",RAS,,,,,"Noci mécanique : ",,,,,,
15H40,"4,8 mm",,"1,3 mm",RAS,,,,,"Noci thermique : ",,,,,,
16H30,"5,0 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"Tactile : ",,,,,,
,,,,"Re = 35 MΩ ; Ri = 24 MΩ",,,,,"Injection à nA pendant min",,,,,,
,,,,"Cellule A à 8000 µm",,,,,,,,,,,
,,,,"Antidromique (latence : 3 ms ; seuil : 100 µA)",,,,,,,,,,,
,,,,"Fréquence spontanée =  Hz",,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,
,,,,"Noci mécanique : ",,,,,,,,,,,
,,,,"Noci thermique : NO@44°C; ON@50°C (FL)",,,,,,,,,,,
,,,,"Tactile : ",,,,,,,,,,,
,,,,"Injection à nA pendant min",,,,,,,,,,,
,,,,"Cellule B à 8060 µm",,,,,,,,,,,
,,,,"Antidromique (latence: 3,5 ms ; seuil: 50 µA)",,,,,,,,,,,
,,,,"Fréquence spontanée =  Hz",,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,
,,,,"Noci mécanique : ",,,,,,,,,,,
,,,,"Noci thermique : NO@44°C; ON@50°C (FL,RR)",,,,,,,,,,,
,,,,"Tactile : ",,,,,,,,,,,
,,,,"Injection à 10 nA pendant 1 min",,,,,,,,,,,
,,,,"End @ 18H00",,,,,,,,,,,
,,,,"Perfusion @ 19H00",,,,,,,,,,,
