Date,2009/12/08,,"Rat #",298,"Reçu le ",2009/12/01,,,,
,,,,,"Poids approx",300,,,,
"Induction à",11H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
12H20,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 23 MΩ ; Ri = 22 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,RAS,,,,,,
,,,,,,,,,,RAS
13H20,"0.0 mm",,"-0.3 mm","Cellule A à 5015 µm",,,,,,
,,,,"Fréq spont = 0.68 Hz ; ISI = 1465 ± 395 ms",,,,,,"Perfusion @ 17H45"
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Noci thermique : ON",,,,,,"Re = ; Ri = MΩ"
,,,,"Tactile : Neutral",,,,,,
,,,,"Perdue @ injection",,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,,,,,,,
15H40,"0.2 mm",,"0.3 mm",RAS,,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
16H20,"0.2 mm",,"-0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 23 MΩ ; Ri = 22 MΩ",,,,,,"Cellule à µm"
,,,,,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,"Cellule B à 4470 µm",,,,,,Réponse
,,,,"Fréq spont = 1.76 Hz ; ISI = 566 ± 712 ms",,,,,,"Noci mécanique : "
,,,,Réponse,,,,,,"Noci thermique : "
,,,,"Noci thermique : ON",,,,,,"Tactile : "
,,,,"Perdue AV injection",,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
