Date,2008/05/06,,"Rat #",109,"Reçu le ",2008/04/29,,,
,,,,,"Poids approx","300 g",,,
"Induction à",14H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 49",,,,
"Enregistrement : Halothane 0,8% dasn N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
14H50,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 35 MΩ ; Ri = 35 MΩ",,,,,"Re = ; Ri = "
,,,,"Cellule A à 9120 µm",,,,,"Cellule à µm"
,,,,"Fréquence spontanée = 4,17 Hz",,,,,"Fréquence spontanée = Hz"
,,,,Réponse,,,,,Réponse
,,,,"Noci mécanique : ON (FR)",,,,,"Noci mécanique"
,,,,"Noci thermique : ON (FL ; T)",,,,,"Noci thermique"
,,,,"Tactile : NEUTRAL",,,,,Tactile
,,,,"Injection à 4-5 nA pendant 4 min",,,,,"Injection à nA pendant min"
,,,,"Cellule perdue",,,,,
16H40,"5,0 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,
,,,,"Re = 24 MΩ ; Ri = 35 MΩ",,,,,
,,,,RAS,,,,,
,,,,,,,,,
"PERFUSE A 17H10",,,,,,,,,
