Date,2009/09/15,,"Rat #",263,"Reçu le ",2009/09/08,,,,
,,,,,"Poids approx","300 G",,,,
"Induction à",13H20,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
13H55,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 12.5 MΩ ; Ri = 15-25 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,RAS,,,,,,
,,,,,,,,,,RAS
14H25,"0.0 mm",,"-0.8 mm",,,,,,,
,,,,,,,,,,"Perfusion @ 17H45"
,,,,RAS,,,,,,
,,,,,,,,,,"* 1,5% neurobiotine ; 5% NaCl"
14H50,"0.2 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,"Re = ; Ri = MΩ"
,,,,"Re = 11.5 MΩ ; Ri = 15-25 MΩ",,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,"Cellule A à 4200 µm",,,,,,
,,,,"Fréq spont = 3.77 Hz ; ISI = 265 ± 142 ms",,,,,,"Injection à nA pendant min"
,,,,Réponse,,,,,,"Fin injection à "
,,,,"Noci thermique : Neutral (FL/RL/RR:50;FR:46) ON (50:FR)",,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,"Cellule B à 4350 µm",,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,"Fréq spont = 2 Hz ; ISI =  ±  ms",,,,,,Réponse
,,,,Réponse,,,,,,"Noci mécanique : "
,,,,"Noci thermique : Neutral (RL:50)",,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
16H50,"0.2 mm",,"-0.8 mm",RAS,,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
17H20,"-0.2 mm",,"-0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 11 MΩ ; Ri = 15-25 MΩ",,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
