Date,2008/06/02,,"Rat #",121,"Reçu le ",2008/05/27,,,
,,,,,"Poids approx","300 g",,,
"Induction à",16H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
16H20,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 25 MΩ ; Ri = 34 MΩ",,,,,"Re = ; Ri = "
,,,,RAS,,,,,"Cellule à µm"
17H00,"4,7 mm",,"1,1 mm","Cellule A à 9880 µm",,,,,"Fréquence spontanée = Hz"
,,,,"Fréquence spontanée = 35 Hz",,,,,Réponse
,,,,"très variable",,,,,"Noci mécanique : "
,,,,Réponse,,,,,"Noci thermique : "
,,,,"Noci mécanique : ON (T ;FR)",,,,,"Tactile : "
,,,,"Noci thermique :  ON (FL)",,,,,"Injection à nA pendant min"
,,,,"Tactile : ",,,,,
,,,,"Injection à 0,3-0,4 nA pendant 1 min",,,,,
,,,,"Cellule perdue",,,,,
18H20,"5 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,
,,,,"Re = 18 MΩ ; Ri = 34 MΩ",,,,,
,,,,RAS,,,,,
