Date,2009/01/22,,"Rat #",213,"Reçu le ",2009/01/13,,,,
,,,,,"Poids approx","300 g",,,,
"Induction à",11H30,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
12H05,"5,0 mm",,"1,0 mm","* 5% TMR ; 5-10% NaCl",,,,,,
,,,,"Re = 12-13 MΩ ; Ri = 20 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,
,,,,RAS,,,,,,RAS
,,,," tjs pas plancher @ 10 600 µm",,,,,,
,,,,,,,,,,"Perfusion @ 17H45"
13H10,"4,8 mm",,"1,0 mm",RAS,,,,,,
,,,,,,,,,,"* 1,5% neurobiotine ; 5% NaCl"
14H25,"4,6 mm",,"0,8 mm","* 0,9% NaCl",,,,,,"Re = ; Ri = MΩ"
,,,,"Re = 15-16 MΩ ; Ri =  MΩ",,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
16H50,"4,8 mm",,"1,0 mm","* 5% TMR ; 5-10% NaCl",,,,,,
,,,,"Re = 12-13 MΩ ; Ri = 20 MΩ",,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
17H20,"5,0 mm",,"1,0 mm",RAS,,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,,,,,,,"Fréquence spontanée =  Hz"
,,,,,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
,,,,,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
