Date,2008/10/21,,"Rat #",192,"Reçu le ",2008/09/14,,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,,
"Induction à",12H10,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 65",,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 700 µm ; ",,,,,,,,,,,,,,,,
"Profondeur : 700 µm par rapport à l'obex",,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,,
14H30,"5,2 mm",,"1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,,
,,,,"Re = 11 MΩ ; Ri = 28 MΩ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule à 8400 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 25 Hz",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : OFF (FR)",,,,,,,,,,,,
,,,,"Noci thermique : OFF (50:RL)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule A à 9280 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 3 Hz (burst)",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : Neutral (FR)",,,,,,,,,,,,
,,,,"Noci thermique : OFF (50:RL/FL)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15H44,"5,0 mm",,"1 mm","Cellule B à 8680 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 10 - 15 Hz",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : ON (FR)",,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Noci thermique : ON (50:FL/RL/RR)",,,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,,,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,"Cellule C à 9000 µm",,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,"5,5 mm",,"1,1 mm"
,,,,Antidrom:elec2:;lat:5ms;seuil:300µA,,,,,,Collision,,,,,,
