Date,2008/10/01,,"Rat #",185,"Reçu le ",2008/09/30,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",10H55,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 650 µm ; Profondeur : 600 µm",,,,,,,,,,,,,,,
"par rapport au Calamus",,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
12H00,"4,8 mm",,"1,2 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 13 MΩ ; Ri = 20 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,RAS,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,"5,5 mm",,"1,1 mm"
13H30,"5,0 mm",,"1,2 mm","Cellule A à 8395 µm",,,,,Collision,,,,,,
,,,,Antidromique:NO,,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,"Fréquence spontanée = 5 Hz",,,,,Réponse,,,,,,
,,,,Réponse,,,,,"Noci mécanique : ",,,,,,
,,,,"Noci mécanique : NO (FR)",,,,,"Noci thermique : ",,,,,,
,,,,"Noci thermique : NO (50:FL)",,,,,"Tactile : ",,,,,,
,,,,,,,,,"Injection à nA pendant min",,,,,,
,,,,"Cellule à 8670 µm",,,,,"Fin injection à ",,,,,,
,,,,Antidromique:NO,,,,,,,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,,,,,,
,,,,"Réponse noci : NO",,,,,,,,,,,
,,,,,,,,,,,,,,,
14H15,"4,6 mm",,"1,2 mm","Cellule à 7920 µm",,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,,,,,,
,,,,"Réponse noci : NO",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Cellule B à 7890 µm",,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,
,,,,"Fréquence spontanée = 30-40 Hz",,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,
,,,,"Noci mécanique : NO (FR)",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Cellule à 8380 µm",,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,,,,,,
,,,,"Réponse noci : NO",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Cellule à 8430 µm",,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,
,,,,"Réponse noci : NO",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Cellule à 8600 µm",,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,
,,,,"Réponse noci : NO",,,,,,,,,,,
,,,,,,,,,,,,,,,
15H30,"5,2 mm",,"1,2 mm","Cellule à 8750 µm",,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,
,,,,"Réponse noci : NO",,,,,,,,,,,
,,,,,,,,,,,,,,,
16H20,"4,4 mm",,"1,2 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,
,,,,"Re = 11 MΩ ; Ri = 20 MΩ",,,,,,,,,,,
,,,,RAS,,,,,,,,,,,
,,,,,,,,,,,,,,,
17H25,"5,4 mm",,"1,2 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,
,,,,"Re = 12 MΩ ; Ri = 20 MΩ",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Cellule C à 7850 µm",,,,,,,,,,,
,,,,Antidrom:OKelec:3;lat:4ms;seuil:100µA,,,,,,,,,,,
,,,,"Collision: spont trop basse",,,,,,,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,
,,,,"Noci mécanique : No (FR)",,,,,,,,,,,
,,,,"Noci thermique : NO (50:FL)",,,,,,,,,,,
,,,,"Injection impossible : R trop haute",,,,,,,,,,,
