Date,2008/06/27,,"Rat #",142,"Reçu le ",2008/06/24,,,
,,,,,"Poids approx","300 g",,,
"Induction à",12H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
13H20,"4,6 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 12 ; Ri = 30",,,,,"Re = ; Ri = "
,,,,RAS,,,,,"Cellule à µm"
14H15,"4,9 mm",,"1,1 mm",RAS,,,,,"Fréquence spontanée =  Hz"
15H10,"5,2 mm",,"1,1 mm",,,,,,Réponse
,,,,,,,,,"Noci mécanique : "
,,,,,,,,,"Noci thermique : "
,,,,,,,,,"Tactile : "
,,,,,,,,,"Injection à nA pendant min"
