Date,2009/06/02,,"Rat #",247,"Reçu le ",2009/05/26,,,,,,,,,,,
,,,,,"Poids approx","300-400 G",,,,,,,,,,,
"Induction à",11H30,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)"," ",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 97",,,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)",,,,,,,
,,,,,,,,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm",,,,,,,
12H05,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,,,,,,,,
,,,,"Re = 12 MΩ ; Ri = 12 MΩ",,,,,,"Perdue @ injection",,,,,,,
,,,,,,,,,,"Perdue AV injection",,,,,,,
,,,,"Cellule A à 4570 µm",,,,,,,,,,,,,
,,,,"Différentes cellules enregistrées",,,,,,RAS,,,,,,,
,,,,"Fréq spont = 0.74 Hz ; ISI = 1334 ± 842 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,"Perfusion @ 17H45",,,,,,,
,,,,"Noci thermique : ON (50:RL/FL/RR/FR)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (46:RR)",,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,,,,
,,,,,,,,,,"Re = ; Ri = MΩ",,,,,,,
,,,,"Fréq spont = 0.56 Hz ; ISI = 1721 ± 381 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,"* 5% TMR ; 5-10% NaCl",,,,,,,
,,,,"Noci thermique : OFF (52:RL/FL/RR/FR)",,,,,,,,,,,,,
,,,,,,,,,,"Injection à nA pendant min",,,,,,,"Injection à nA pendant min"
,,,,"Injection à 1-2 nA pendant 8 min 30 sec",,,,,,"Fin injection à ",,,,,,,"Fin injection à "
,,,,"Fin injection à 13H00",,,,,,,,,,,,,
,,,,,,,,,,"Cellule à µm",,,,,,,
,,,,"Cellule B à 4290 µm",,,,,,"Fréq spont =  Hz ; ISI = ± ms",,,,,,,
14H30,"0.0 mm",,"-0.8 mm","Fréq spont = 1.71 Hz ; ISI = 580 ± 842 ms",,,,,,Réponse,,,,,,,
,,,,,,,,,,"Noci mécanique : ",,,,,,,
,,,,"Cellule C à 4435 µm",,,,,,"Noci thermique : ",,,,,,,
,,,,"Fréq spont = 0.23 Hz",,,,,,"Tactile : ",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule D à 4516 µm",,,,,,"Point Bleu @ 4380 µm",,,,,,,
,,,,"Fréq spont = burst",,,,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,,,,
,,,,"Cellule E à µm",,,,,,Collision,,,,,,,
,,,,"Fréq spont = 0.4 Hz ; ISI =2517 ± 1252 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci mécanique : ON (FR)",,,,,,,,,,,,,
,,,,"Noci thermique : ON (50 : FR/FL/RR/RL;48/52 : FR)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (46/44:FR)",,,,,,,,,,,,,
,,,,"Injection à 2-7 nA pendant 1 min 45 sec",,,,,,,,,,,,,
,,,,"Fin injection à 15H20",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
14H30,"-0.2 mm",,"-0.2 mm","Cellule F à 3930 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 1.58 Hz ; ISI = 631 ± 213 ms",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
16H26,"0.2 mm",,"-0.2 mm","Cellule G à 4200 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 10.19 Hz ; ISI = 98 ± 113 ms",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Perfusion @ 17H00",,,,,,,,,,,,,
