Date,2009/12/16,,"Rat #",304,"Reçu le ",2009/12/08,,,,
,,,,,"Poids approx",300,,,,
"Induction à",11H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 136",,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
12H00,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 22 MΩ ; Ri = 22 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,"Cellule A à 4860 µm",,,,,,
,,,,"Fréq spont = 2.2 Hz ; ISI = 453 ± 186 ms",,,,,,RAS
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON",,,,,,"Perfusion @ 17H45"
,,,,"Noci thermique : ON",,,,,,
,,,,"Tactile : Neutral",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Injection à 3-5 nA pendant 4 min 10 sec",,,,,,"Re = ; Ri = MΩ"
,,,,"Fin injection à 13H00",,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
14H35,"0.0 mm",,"-0.7 mm",RAS,,,,,,
,,,,,,,,,,"Injection à nA pendant min"
15H30,"0.2 mm",,"-0.7 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,"Fin injection à "
,,,,"Re = 35 MΩ ; Ri = 35 MΩ",,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,RAS,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
16H25,"0.0 mm",,"-0.1 mm",RAS,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,"Perfusion @ 17H15",,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
