Date,2008/09/29,,"Rat #",183,"Reçu le ",2008/09/23,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",10H55,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 58",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 650 µm ; Profondeur : 600 µm",,,,,,,,,,,,,,,
"par rapport au Calamus",,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
12H00,"4,8 mm",,"1,2 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 11 MΩ ; Ri = 20 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,"Cellule A à 7690 µm",,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,"5,5 mm",,"1,1 mm"
,,,,Antidromique:NO,,,,,Collision,,,,,,
,,,,"Fréquence spontanée = 20-25 Hz",,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,Réponse,,,,,Réponse,,,,,,
,,,,"Noci mécanique : OFF (RL)",,,,,"Noci mécanique : ",,,,,,
,,,,"Noci thermique : OFF (50:FR/RL/RR)",,,,,"Noci thermique : ",,,,,,
,,,,"NEUT (44:RL)",,,,,"Tactile : ",,,,,,
,,,,"Injection à 5-7nA pendant 8 min 30 sec",,,,,"Injection à nA pendant min",,,,,,
,,,,"fin injection 12H50",,,,,"Fin injection à ",,,,,,
,,,,,,,,,,,,,,,
13H05,"4,8 mm",,"1,2 mm (D)",RAS,,,,,,,,,,,
,,,,,,,,,,,,,,,
14H35,"4,6 mm",,"1,2 mm (D)","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,
,,,,"Re = 11 MΩ ; Ri = 20 MΩ",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Cellule B à 8200 µm",,,,,,,,,,,
,,,,Antidromique:OK;elec:3;lat:5ms;seuil:150µA,,,,,,,,,,,
,,,,"Collision :OK (lat:2ms)",,,,,,,,,,,
,,,,"Fréquence spontanée =  0-1 Hz",,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,
,,,,"Noci mécanique : ",,,,,,,,,,,
,,,,"Noci thermique : ",,,,,,,,,,,
,,,,"Tactile : ",,,,,,,,,,,
,,,,"Injection à 4 nA pendant 5 min",,,,,,,,,,,
,,,,"Fin injection à 15H10 ",,,,,,,,,,,
,,,,,,,,,,,,,,,
15H20,"5,2 mm",,"1,2 mm (D)","Cellule à 8000 µm",,,,,,,,,,,
,,,,"Antidromique: NO",,,,,,,,,,,
,,,,"Noci: NO",,,,,,,,,,,
,,,,,,,,,,,,,,,
16H25,"5,4 mm",,"1,2 mm (D)",RAS,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Perfusion @ 17H30",,,,,,,,,,,
