Date,2008/07/03,,"Rat #",146,"Reçu le ",2008/07/01,,,
,,,,,"Poids approx","300 g",,,
"Induction à",11H30,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
12H10,"4,6 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 12 MΩ ; Ri = 20 MΩ",,,,,"Re = ; Ri = MΩ"
,,,,"5 - 6 cellules perdues",,,,,"Cellule à µm"
,,,,,,,,,"Fréquence spontanée =  Hz"
,,,,,,,,,Réponse
,,,,,,,,,"Noci mécanique : "
,,,,,,,,,"Noci thermique : "
,,,,,,,,,"Tactile : "
,,,,,,,,,"Injection à nA pendant min"
