Date,2009/02/17,,"Rat #",217,"Reçu le ",2009/02/10,,,,
,,,,,"Poids approx","300 g",,,,
"Induction à",09H50,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 76",,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
11H20,"5,0 mm",,"0,9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,
,,,,"Re = 13,5 MΩ ; Ri = 30 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,RAS,,,,,,
,,,,,,,,,,RAS
12H05,"4,8 mm",,"0,9 mm","Cellule A à 9585 µm",,,,,,
,,,,"Fréquence spontanée = 12-13 Hz",,,,,,"Perfusion @ 17H45"
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON (RR)",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Noci thermique : ON (50:RL/FL/RR)",,,,,,"Re = ; Ri = MΩ"
,,,,"Noci thermique : ON (48:RL)",,,,,,
,,,,Perdue,,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,,,,,,,
,,,," tjs pas plancher @ 10 300 µm",,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
14H00,"4,6 mm",,"0,9 mm",RAS,,,,,,
,,,,,,,,,,"Cellule à µm"
14H30,"5,2 mm",,"0,9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,"Fréquence spontanée =  Hz"
,,,,"Re = 10 MΩ ; Ri = 30 MΩ",,,,,,Réponse
,,,,RAS,,,,,,"Noci mécanique : "
,,,,,,,,,,"Noci thermique : "
15H10,"5,6 mm",,"0,9 mm",RAS,,,,,,"Tactile : "
,,,,,,,,,,
15H55,"5,0 mm",,"0,9 mm (D)","* 1,5% neurobiotine ; 5% NaCl",,,,,,
,,,,"Re = 10 MΩ ; Ri = 30 MΩ",,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
16H15,"5,2 mm",,"0,8 mm (D)","* 1,5% neurobiotine ; 5% NaCl",,,,,,Collision
,,,,"Re = 10 MΩ ; Ri = 30 MΩ",,,,,,
,,,,,,,,,,
,,,,"Cellule B à 9000 µm",,,,,,
,,,,"Fréquence spontanée = 5 Hz (irr)",,,,,,
,,,,,,,,,,
,,,,"Cellule C à 9260 µm",,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON (FR)",,,,,,
,,,,"Noci thermique : ON (50:FL/RL/RR) ON (52:FL/RL)",,,,,,
,,,,"Noci thermique : ON (48:RL); neutral (46:RR)",,,,,,
,,,,"Tactile : Neutral",,,,,,
,,,,"Perdue @ injection",,,,,,
,,,,,,,,,,
,,,,"Cellule D à 9500 µm",,,,,,
,,,,"Fréquence spontanée = 2 Hz (burst tts les 2 secs)",,,,,,
,,,,Réponse,,,,,,
,,,,"Noci mécanique : OFF (FR)",,,,,,
,,,,"Noci thermique : Neutral (52:RL)",,,,,,
,,,,"Injection à 8 nA pendant 2 min",,,,,,
,,,,"Fin injection à 17H10",,,,,,
,,,,"Suivi moyen (modulation ",,,,,,
,,,,"de décharge spontanée) ; cellule perdue",,,,,,
,,,,"ou morte ?",,,,,,
,,,,,,,,,,
,,,,"Perfusion @ 17H45",,,,,,
