Date,2009/11/26,,"Rat #",290,"Reçu le ",2009/11/10,,,,
,,,,,"Poids approx",300,,,,
"Induction à",11H25,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 126",,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
11H55,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 17 MΩ ; Ri = 18 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,"Cellule à µm",,,,,,
,,,,"Fréq spont = 4.46 Hz ; ISI = 224 ± 126 ms",,,,,,RAS
,,,,Réponse,,,,,,
,,,,"Noci thermique : OFF ",,,,,,"Perfusion @ 17H45"
,,,,"Injection à 4 nA pendant 20 sec",,,,,,
,,,,"Fin injection à 12H45",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,,,,,,,"Re = ; Ri = MΩ"
15H40,"0.0 mm",,"-0.3 mm",RAS,,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
?,"-0.2 mm",,"-0.3 mm",RAS,,,,,,
,,,,,,,,,,"Injection à nA pendant min"
17H05,"0.2 mm",,"-0.3 mm",RAS,,,,,,"Fin injection à "
,,,,"Perfusion @ 17H36",,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
,,,,,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,,,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
