Date,2009/10/27,,"Rat #",281,"Reçu le ",2009/10/20,,,,
,,,,,"Poids approx",300,,,,
"Induction à",11H10,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
11H40,"0.0 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 15 MΩ ; Ri = 20 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,"Cellule A à 4180 µm",,,,,,
,,,,"Fréq spont = 2.82 Hz ; ISI = 354 ± 82 ms",,,,,,RAS
,,,,Réponse,,,,,,
,,,,"Noci mécanique : Neutral (RL)",,,,,,"Perfusion @ 17H45"
,,,,"Noci thermique : Neutral (50:tt CR;RL:44-52)",,,,,,
,,,,"Perdue @ injection",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,,,,,,,"Re = ; Ri = MΩ"
,,,,"Cellule B à 4675 µm",,,,,,
,,,,"Fréq spont = 2.9 Hz ; ISI = 345 ± 148 ms",,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,,,,,,,
16H00,"0.0 mm",,"-0.3 mm",RAS,,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à "
16H45,"-0.2 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 15 MΩ ; Ri = 25 - 30 MΩ",,,,,,"Cellule à µm"
,,,,,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,RAS,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
17H10,"-0.2 mm",,"-0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,"Noci thermique : "
,,,,"Re = 15 MΩ ; Ri = 25 - 30 MΩ",,,,,,"Tactile : "
,,,,,,,,,,
,,,,RAS,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
18H00,"0.2 mm",,"0.3 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,"Re = 14 MΩ ; Ri = 25 - 30 MΩ",,,,,,Collision
