Date,2008/06/23,,"Rat #",136,"Reçu le ",2008/06/16,,,
,,,,,"Poids approx","300 g",,,
"Induction à",14H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
15H30,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 25 MΩ ; Ri =  MΩ",,,,,"Re = ; Ri = "
,,,,RAS,,,,,"Cellule à µm"
16H15,"4,6 mm",,"1,1 mm","Cellule A à 9300 µm",,,,,"Fréquence spontanée = Hz"
,,,,"Fréquence spontanée = 1-2 Hz",,,,,Réponse
,,,,Réponse,,,,,"Noci mécanique : "
,,,,"Noci mécanique : ON (FR)",,,,,"Noci thermique : "
,,,,"Noci thermique : ",,,,,"Tactile : "
,,,,"Tactile : ",,,,,"Injection à nA pendant min"
17H15,"4,8 mm",,"1,3 mm","Cellule B à 9450 µm",,,,,
,,,,"Fréquence spontanée = 1-2 Hz",,,,,
,,,,Réponse,,,,,
,,,,"Noci mécanique : ON (T ; FR)",,,,,
,,,,"Noci thermique : ON (FL) > 48",,,,,
,,,,"Tactile : ",,,,,
,,,,"Injection à 0,8 nA pendant 30 sec",,,,,
,,,,perdue,,,,,
