Date,2008/06/23,,"Rat #",137,"Reçu le ",2008/06/16,,,
,,,,,"Poids approx","300 g",,,
"Induction à",10H30,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 52",,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
11H10,"4,6 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 15 MΩ ; Ri = 30 MΩ",,,,,"Re = ; Ri = "
,,,,"Cellule A à 9500 µm",,,,,"Cellule à µm"
,,,,"Fréquence spontanée = 20 Hz",,,,,"Fréquence spontanée = 20 Hz"
,,,,Réponse,,,,,Réponse
,,,,"Noci mécanique : ON (T;FR)",,,,,"Noci mécanique : "
,,,,"Noci thermique : ON (FL) > 46°C",,,,,"Noci thermique : "
,,,,"Tactile : ",,,,,"Tactile : "
,,,,"Injection à 0,8 nA pendant 10 min",,,,,"Injection à nA pendant min"
,,,,"Bon suivie ; fin injection @ 12H15",,,,,
,,,,,,,,,
,,,,"Perfusion @ 13H10",,,,,
