Date,2008/09/19,,"Rat #",177,"Reçu le ",2008/09/16,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",10H30,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 800 µm ; Profondeur : 700 µm",,,,,,,,,,,,,,,
"par rapport au Calamus",,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
11H20,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 15 MΩ ; Ri = 34 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,"1 cell antidrom",,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
12H50,"4,6 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,Antidromique,,,,"5,5 mm",,"1,1 mm"
,,,,"Re = 15 MΩ ; Ri = 25 MΩ",,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,RAS,,,,,Réponse,,,,,,
13H45,"4,8 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"Noci mécanique : ",,,,,,
,,,,"Re = 20 MΩ ; Ri = 40 MΩ",,,,,"Noci thermique : ",,,,,,
,,,,RAS,,,,,"Tactile : ",,,,,,
14H50,"5,0 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"Injection à nA pendant min",,,,,,
,,,,"Re = 20 MΩ ; Ri = 34 MΩ",,,,,,,,,,,
,,,,RAS,,,,,,,,,,,
15H50,"5,2 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,
,,,,"Re = 20 MΩ ; Ri = 35 MΩ",,,,,,,,,,,
,,,,"Cellule A à 8660 µm",,,,,,,,,,,
,,,,Antidromique:OK;elec:2:lat:1ms;seuil:50µA,,,,,,,,,,,
,,,,"Fréquence spontanée =  Hz",,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,
,,,,"Noci mécanique : OFF (tail)",,,,,,,,,,,
,,,,"Noci thermique : ON (50°C:FL/FR/RL)",,,,,,,,,,,
,,,,"Tactile : ",,,,,,,,,,,
,,,,"Injection à 5 nA pendant 1 min",,,,,,,,,,,
17H00,"5,4 mm",,"1,1 mm",RAS,,,,,,,,,,,
