Date,2008/12/16,,"Rat #",202,"Reçu le ",2008/12/02,,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,,
"Induction à",09H50,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 70",,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 700 µm ; ",,,,,,,,,,,,,,,,
"Profondeur : 500 µm par rapport à l'obex",,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,,
10H35,"5,2 mm",,"0,9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,,
,,,,"Re = 12 MΩ ; Ri = 29 MΩ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule A à 8850 µm",,,,,,,,,,,,
,,,,Antidromique:OK,,,,,,,,,,,,
,,,,Collision:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 20 Hz",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Plusieurs unités mal isolables",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule à 8950 µm",,,,,,,,,,,,
,,,,"Fréquence spontanée = ? Hz",,,,,,,,,,,,
,,,,"Décharge en bursts ""réguliers""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule B à 9050 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 8 Hz (reg)",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : ON (T/FR)",,,,,,,,,,,,
,,,,"Noci thermique : ON (50:RL/FL/RR)",,,,,,,,,,,,
,,,,"Noci thermique : Neutral (44:RL/FL/RR)",,,,,,,,,,,,
,,,,"Tactile : ",,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,,,,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,"une 2ème unité plus petite ",,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,"en arrière plan aussi nociceptive",,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,"5,5 mm",,"1,1 mm"
,,,,,,,,,,Collision,,,,,,
,,,,"Injection à 2 nA pendant 10 min 45 sec",,,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,"Fin injection à 11H30",,,,,,Réponse,,,,,,
,,,,,,,,,,"Noci mécanique : ",,,,,,
12H10,"5,0 mm",,"0,9 mm (D)",RAS,,,,,,"Noci thermique : ",,,,,,
,,,,,,,,,,"Tactile : ",,,,,,
,,,,"Plancher @ 10 600 µm !",,,,,,"Injection à nA pendant min",,,,,,
,,,,,,,,,,"Fin injection à ",,,,,,
,,,,"Perfusion @ 12H40",,,,,,,,,,,,
,,,,,,,,,,"Cellule à µm",,,,,,
,,,,,,,,,,Antidromique:NO,,,,,,
,,,,,,,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,,,,,,,Réponse,,,,,,
,,,,,,,,,,"Noci mécanique : NO (FR/T)",,,,,,
,,,,,,,,,,"Noci thermique : NO (50:FL/RL)",,,,,,
