Date,2009/12/15,,"Rat #",303,"Reçu le ",2009/12/08,,,,
,,,,,"Poids approx",300,,,,
"Induction à",11H20,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
12H10,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 35 MΩ ; Ri = 35 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,"Cellule A à 4875 µm",,,,,,
,,,,"Fréq spont = 1.22 Hz ; ISI = 823 ± 678 ms",,,,,,RAS
,,,,,,,,,,
14H15,"0.1 mm",,"-0.7 mm",RAS,,,,,,"Perfusion @ 17H45"
,,,,,,,,,,
15H10,"-0.1 mm",,"-0.7 mm","Cellule B à 4700 µm",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Fréq spont = 1.16 Hz ; ISI = 858 ± 439 ms",,,,,,"Re = ; Ri = MΩ"
,,,,Réponse,,,,,,
,,,,"Noci thermique : ON",,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,"Perdue AV injection",,,,,,
,,,,,,,,,,"Injection à nA pendant min"
16H25,"0.2 mm",,"-0.2 mm",RAS,,,,,,"Fin injection à "
,,,,,,,,,,
17H15,"-0.1 mm",,"0.7 mm",RAS,,,,,,"Cellule à µm"
,,,,,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,,,,,,,Réponse
,,,,,,,,,,"Noci mécanique : "
,,,,,,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,,,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
