Date,2009/09/21,,"Rat #",266,"Reçu le ",2009/09/08,,,,
,,,,,"Poids approx","300 G",,,,
"Induction à",12H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
12H50,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 10 MΩ ; Ri = 18 MΩ",,,,,,"Perdue @ injection"
,,,,RAS,,,,,,"Perdue AV injection"
,,,,,,,,,,
13H55,"0.2 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,RAS
,,,,"Re = 10 MΩ ; Ri = 24 MΩ",,,,,,
,,,,RAS,,,,,,"Perfusion @ 17H45"
,,,,,,,,,,
14H30,"-0.2 mm",,"0.8 mm",RAS,,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,,,,,,,"Re = ; Ri = MΩ"
15H10,"-0.2 mm",,"-0.8 mm",RAS,,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl"
16H20,"0.0 mm",,"-0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 10 MΩ ; Ri = 24 MΩ",,,,,,"Injection à 3-4 nA pendant 1 min"
,,,,,,,,,,"Fin injection à "
,,,,"Cellule A à 4420 µm",,,,,,
,,,,"Fréq spont =  Hz ; ISI = ± ms",,,,,,"Cellule à µm"
,,,,Réponse,,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,"Noci mécanique : ON (FR)",,,,,,Réponse
,,,,"Noci thermique : ON (tt CR : 50;FR:48->52) Neutral ('-:FR)",,,,,,"Noci mécanique : "
,,,,"Perdue @ injection",,,,,,"Noci thermique : "
,,,,,,,,,,"Tactile : "
,,,,,,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,,,,,,,
,,,,,,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
