Date,2008/12/10,,"Rat #",199,"Reçu le ",2008/11/27,,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,,
"Induction à",11H25,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 68",,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 700 µm ; ",,,,,,,,,,,,,,,,
"Profondeur : 500 µm par rapport à l'obex",,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,,
12H10,"5,2 mm",,"0,9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,,
,,,,"Re = 11 MΩ ; Ri = 19 MΩ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule A à 9020 µm",,,,,,,,,,,,
,,,,"Antidromique:NO;PE:OK (elec:2)",,,,,,,,,,,,
,,,,"Fréquence spontanée = 2,5  Hz",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : ON (FR)",,,,,,,,,,,,
,,,,"Noci thermique : ON (50:FL/RL/RR)(46:RR)",,,,,,,,,,,,
,,,,"Noci thermique : Neutral (44:RR)",,,,,,,,,,,,
,,,,"Tactile : Neutral",,,,,,,,,,,,
,,,,"Perdue @ injection",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule B à 9080 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 2,5  Hz (irr)",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : OFF (FR)",,,,,,,,,,,,
,,,,"Noci thermique : OFF (50:FL/RL)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule C à 9250 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Fréquence spontanée = 1,5  Hz (irr)",,,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,Réponse,,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,"Noci mécanique : ON (FR)",,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,"5,5 mm",,"1,1 mm"
,,,,"Noci thermique : ON (50:FL/RL/RR)",,,,,,Collision,,,,,,
,,,,"Noci thermique : Neutral (46:FL)",,,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,"Tactile : Neutral",,,,,,Réponse,,,,,,
,,,,"Perdue @ injection",,,,,,"Noci mécanique : ",,,,,,
,,,,,,,,,,"Noci thermique : ",,,,,,
14H00,"5,1 mm",,"0,9 mm","Cellule D à 8800 µm",,,,,,"Tactile : ",,,,,,
,,,,Antidromique:NO,,,,,,"Injection à nA pendant min",,,,,,
,,,,"Fréquence spontanée = 7 Hz (burst)",,,,,,"Fin injection à ",,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : OFF (FR) (léger)",,,,,,"Cellule à µm",,,,,,
,,,,"Noci thermique : ON (50:FL/RR)",,,,,,Antidromique:NO,,,,,,
,,,,"Injection à 4 nA pendant 3 min",,,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,"Fin injection à 14H40",,,,,,Réponse,,,,,,
,,,,,,,,,,"Noci mécanique : NO (FR/T)",,,,,,
14H55,"5,2 mm",,"0,9 mm (D)","Cellule E à 8550 µm",,,,,,"Noci thermique : NO (50:FL/RL)",,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 50 Hz (irr)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15H55,"5,0 mm",,"0,9 mm (D)",RAS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16H35,"4,8 mm",,"0,9 mm (D)","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,,
,,,,"Re = 11 MΩ ; Ri = 24 MΩ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule F à 8390 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 20-50 Hz (irr)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule G à 8870 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 2 Hz (irr)",,,,,,,,,,,,
,,,,"Noci thermique : OFF (50:FL/RR)",,,,,,,,,,,,
,,,,"Fréquence spontanée = 0 Hz après stim",,,,,,,,,,,,
,,,,"Perdue après <30 sec injection",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Marqué électrode antidromique 2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Perfusion @ 17H45",,,,,,,,,,,,
