Date,2008/05/23,,"Rat #",111,"Reçu le ",2008/05/20,,,
,,,,,"Poids approx","300 g",,,
"Induction à",10H15,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
11H15,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 20 MΩ ; Ri = 35 MΩ",,,,,"Re = ; Ri = "
,,,,"Cellule A à 8900 µm",,,,,"Cellule à µm"
,,,,"Fréquence spontanée = Hz",,,,,"Fréquence spontanée = Hz"
,,,,Réponse,,,,,Réponse
,,,,"Noci mécanique : OFF (FR)",,,,,"Noci mécanique : "
,,,,"Noci thermique : ?",,,,,"Noci thermique : "
,,,,"Tactile : ?",,,,,"Tactile : "
,,,,"Cellule B à 8950 µm",,,,,"Injection à nA pendant min"
,,,,"Fréquence spontanée =  Hz",,,,,
,,,,Réponse,,,,,
,,,,"Noci mécanique : ?",,,,,
,,,,"Noci thermique : ON (FL)",,,,,
,,,,"latence très longue ?",,,,,
,,,,"Tactile : ?",,,,,
