Date,2008/05/27,,"Rat #",116,"Reçu le ",2008/05/27,,,
,,,,,"Poids approx","300 g",,,
"Induction à",14H15,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
15H10,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 15 MΩ ; Ri = 19 MΩ",,,,,"Re = ; Ri = "
,,,,RAS,,,,,"Cellule à µm"
16H10,"4,7 mm",,"1,1 mm","Cellule A à 9600 µm",,,,,"Fréquence spontanée = Hz"
,,,,"Fréquence spontanée = 5 Hz",,,,,Réponse
,,,,Réponse,,,,,"Noci mécanique : "
,,,,"Noci mécanique : OFF (T)",,,,,"Noci thermique : "
,,,,"Noci thermique : OFF (FL)",,,,,"Tactile : "
,,,,"Tactile : ",,,,,"Injection à nA pendant min"
,,,,"Injection à 0,3-0,4 nA pdt 2 min",,,,,
17H46,"5 mm",,"1,3 mm",RAS,,,,,
