Date,2009/07/23,,"Rat #",253,"Reçu le ",2009/07/16,,,,
,,,,,"Poids approx","300 G",,,,
"Induction à",11H20,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 103",,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
12H10,"0.2 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 9 MΩ ; Ri = 30-50 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,RAS,,,,,,
,,,,,,,,,,RAS
14H05,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 9 MΩ ; Ri = 15-20 MΩ",,,,,,"Perfusion @ 17H45"
,,,,,,,,,,
,,,,RAS,,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,,,,,,,"Re = ; Ri = MΩ"
14H30,"-0.2 mm",,"0.8 mm","Cellule A à 4350 µm",,,,,,
,,,,"Fréq spont = 0.73 Hz ; ISI = 1358 ± 537 ms",,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,Réponse,,,,,,
,,,,"Noci mécanique : ON (RL)",,,,,,"Injection à nA pendant min"
,,,,"Noci thermique : ON (50:ttCR;48->52:RL) Neutral (46:RL)",,,,,,"Fin injection à "
,,,,"Perdue @ injection",,,,,,
,,,,,,,,,,"Cellule à µm"
,,,,"Cellule B à 4440 µm",,,,,,"Fréq spont =  Hz ; ISI = ± ms"
,,,,"Fréq spont = 0.35 Hz ; ISI = 2802 ± 1105 ms",,,,,,Réponse
,,,,Réponse,,,,,,"Noci mécanique : "
,,,,"Noci mécanique : Neutral/OFF (FL)",,,,,,"Noci thermique : "
,,,,"Noci thermique : Neutral/OFF (50:ttCR)",,,,,,"Tactile : "
,,,,"Perdue @ injection",,,,,,
,,,,,,,,,,"Point Bleu @ 4380 µm"
,,,,"Cellule à 4550 µm",,,,,,
,,,,"Trop rapide",,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
,,,,"Point Bleu @ 4350 µm",,,,,,
,,,,,,,,,,
16H55,"0.2 mm",,"-0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,
,,,,"Re = 8-9 MΩ ; Ri = 15-20 MΩ",,,,,,
,,,,,,,,,,
,,,,"post fix",,,,,,
