Date,2009/06/01,,"Rat #",246,"Reçu le ",2009/05/26,,,,,,,,,,,
,,,,,"Poids approx","300-400 G",,,,,,,,,,,
"Induction à",10H25,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)"," ",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 96",,,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)",,,,,,,
,,,,,,,,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm",,,,,,,
10H55,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,,,,,,,,
,,,,"Re = 12 MΩ ; Ri = 12 MΩ",,,,,,"Perdue @ injection",,,,,,,
,,,,,,,,,,"Perdue AV injection",,,,,,,
,,,,"Cellule A à 4700 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 29.69 Hz ; ISI = 34 ± 6 ms",,,,,,RAS,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule B à 4914 µm",,,,,,"Perfusion @ 17H45",,,,,,,
,,,,"Fréq spont = 11.41 Hz ; ISI = 88 ± 30 ms",,,,,,,,,,,,,
,,,,,,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,,,,
11H40,"0.0 mm",,"-0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,"Re = ; Ri = MΩ",,,,,,,
,,,,"Re = 12 MΩ ; Ri = 20 MΩ",,,,,,,,,,,,,
,,,,,,,,,,"* 5% TMR ; 5-10% NaCl",,,,,,,
,,,,"Cellule C à 4470 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 6.51 Hz ; ISI = 153 ± 262 ms",,,,,,"Injection à nA pendant min",,,,,,,"Injection à nA pendant min"
,,,,,,,,,,"Fin injection à ",,,,,,,"Fin injection à "
,,,,"Cellule D à µm",,,,,,,,,,,,,
,,,,"Fréq spont =  Hz ; ISI = 812 ± 340 ms",,,,,,"Cellule à µm",,,,,,,
,,,,Réponse,,,,,,"Fréq spont =  Hz ; ISI = ± ms",,,,,,,
,,,,"Noci mécanique : ON (RL)",,,,,,Réponse,,,,,,,
,,,,"Noci thermique : ON (50:FR/RR/FL/RL/T ; 52/48 : RL)",,,,,,"Noci mécanique : ",,,,,,,
,,,,"Noci thermique : Neutral (46:RL)",,,,,,"Noci thermique : ",,,,,,,
,,,,"Perdue @ injection",,,,,,"Tactile : ",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Point Bleu @ 4480 µm",,,,,,"Point Bleu @ 4380 µm",,,,,,,
,,,,,,,,,,,,,,,,,
13H55,"-0.2 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,,,,
,,,,"Re = 13 MΩ ; Ri = 15-17 MΩ",,,,,,Collision,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule E à 3770 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 1.49 Hz ; ISI = 661 ± 1250 ms",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule F à 4010 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 2.39 Hz ; ISI = 416 ± 2582 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci mécanique : ON (FR)",,,,,,,,,,,,,
,,,,"Noci thermique : ON (50:RR/RL/FR/FL;52/48:FR)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (46/44:FR)",,,,,,,,,,,,,
,,,,"Perdue @ injection",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule G à 4200 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 0.51 Hz ; ISI = 1951 ± 6130 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci mécanique : ON (FR)",,,,,,,,,,,,,
,,,,"Noci thermique : ON (50:RR/RL/FR/FL;52/48/46:FR)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (44:FR)",,,,,,,,,,,,,
,,,,"Perdue @ injection",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule H à 4520 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 1.02 Hz ; ISI = 971 ± 1716 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,audio,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
15H35,"0.0 mm",,"0.4 mm",RAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
15H55,"-0.2 mm",,"0.4 mm",RAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,postfixation,,,,,,,,,,,,,
