Date,2008/07/01,,"Rat #",143,"Reçu le ",2008/06/24,,,
,,,,,"Poids approx","300 g",,,
"Induction à",09H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
09H45,"4,6 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 14 ; Ri = 12-16",,,,,"Re = ; Ri = "
,,,,"2 cellules perdues",,,,,"Cellule à µm"
10H50,"4,9 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"Fréquence spontanée =  Hz"
,,,,"Re = 16 MΩ ; Ri = 30-40 MΩ ",,,,,Réponse
,,,,"Cellule A à 9200 µm",,,,,"Noci mécanique : "
,,,,"Fréquence spontanée = 40-50 Hz",,,,,"Noci thermique : "
,,,,Réponse,,,,,"Tactile : "
,,,,"Noci mécanique : OFF post stim",,,,,"Injection à nA pendant min"
,,,,"Noci thermique : OFF post stim",,,,,
,,,,"Tactile : ",,,,,
